lsoa11cd,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007756,1.2448132780083,0.138312586445367,1.79806362378976,0.4149377593360996,94.41884481029554,24.20470262793914,NA,2.074688796680498,40.11065006915629,24214,8630,20
E01007757,1.8573996405033,0.179748352306771,2.51647693229479,0.35949670461354105,94.47428586501809,49.13121629718394,2.995805871779509,6.5907729179149195,80.88675853804673,13745,19099,72
E01007758,1.72155688622754,0.149700598802395,2.69461077844311,0.4491017964071856,94.38468077322445,57.634730538922156,7.485029940119761,5.9880239520958085,116.01796407185628,7521,25323,108
E01007759,1.35777325186694,0,1.0183299389002,0,94.83378256963164,105.90631364562118,5.431093007467752,6.788866259334691,154.1072640868975,5167,27677,122
E01007760,2.18609865470852,0.336322869955157,3.25112107623318,0.336322869955157,94.49745969967648,147.98206278026908,10.089686098654708,18.497757847533634,235.4260089686099,1920,30924,147
E01007761,0.99009900990099,0.0618811881188119,1.42326732673267,0.06188118811881188,94.77190138151282,83.53960396039605,4.9504950495049505,6.806930693069307,129.33168316831686,10267,22577,90
E01007762,1.63154316791298,0.135961930659415,2.17539089055065,0.3399048266485384,94.4938777429831,50.985723997280765,11.556764106050306,8.157715839564922,99.25220938137322,13432,19412,75
E01007763,2.24215246636771,0.192184497117233,3.1390134529148,0.19218449711723257,94.6415980725144,171.68481742472775,14.734144778987828,21.780909673286356,285.07367072389496,3485,29359,132
E01007764,1.9941348973607,0.175953079178886,2.4633431085044,0.41055718475073316,94.42322538488091,147.8005865102639,13.489736070381232,10.557184750733137,227.56598240469205,597,32247,160
E01007765,14.4268774703557,7.90513833992095,12.7140974967062,9.354413702239789,85.47936886739186,94.86166007905138,18.44532279314888,16.469038208168644,191.04084321475625,10225,22619,91
E01007766,15.1226158038147,10.0817438692098,8.10626702997275,12.329700272479565,82.50408229715207,80.38147138964577,4.768392370572207,6.130790190735695,122.61580381471389,3190,29654,136
E01007767,21.2868310282622,13.2291040288635,17.4383644016837,14.371617558628982,80.46216501100265,129.2844257366206,18.641010222489477,13.2291040288635,237.52254960914013,3810,29034,130
E01007768,42.7685950413223,22.0557851239669,29.4938016528926,30.836776859504134,63.9970057101275,159.0909090909091,12.396694214876034,16.012396694214875,247.41735537190084,500,32344,161
E01007769,50.1736111111111,24.4791666666667,52.7777777777778,36.226851851851855,58.60693071777978,169.56018518518516,19.675925925925927,29.51388888888889,296.29629629629625,302,32542,165
E01007770,24.332006822058,15.861284820921,14.837976122797,20.06822057987493,74.7655619897567,73.90562819783968,7.390562819783968,5.11654349061967,135.8726549175668,4409,28435,127
